Text	Class
let nip ahoy spank mayb	OFF
rt officiallyreid hoe get loos move citi everybodi find hoe lol	OFF
rt asspicsandvin rub booti start play pussi ya  gtgtgtgtgt 	OFF
bitch want go littl itali tonight told fuck thot	OFF
rt ericxmorrison burn forev bitch	OFF
 pacer nflcolt indystar chuckstrong goldswagg  that awesom  hoosier	NOT
denythepropheci shit joel went swore kid kid fuck snitch nigga pussi rat amp got 	OFF
rt coleyce lilaerii bitch tf think go	OFF
wouldv known jesusl come back ghetto  level thorough like black heroin	NOT
rt profailur favorit childhood memori mom found stash  xanax slight less bitch exact one 	OFF
rt erykahrog idc cute shit dont matter got trash person	OFF
rt keyshawnswag bitch itti bitti titti committ	OFF
one best faggot joke time stephenk itgt anybodi seen faggot late believ hes dress obama 	OFF
rt whenrappersaid tupac said aint killer dont push reveng sweetest joy next get pussi 	OFF
ref final call arm ball hoe didnt count hand ball mexico game k yesiamstillsalti	OFF
wasnt call faggot one lol	OFF
shes florida youv got sniff test swamp pussi 	OFF
rt nenilov jk im influenc guy  im graduat dare ass bitch 	OFF
imthirst gonna hold tongu could get anoth team couldnt anymor theyr fuckin retard	OFF
time bitch nigga	OFF
countin hoe nigga that know nigga	OFF
im begin thincc brother defiant fat mexican bitch eugh 	OFF
na hit butta slide end bitch 	OFF
rt attsmcjay one man trash anoth man treasureperfect explain stripper daddi issu	NOT
redsox focus oriol knock last year hatr yanke umteen year lol	NOT
sotoodean random ass bitch show left hour later	OFF
powlengmawi yung nakalagay sa second page ng handout na may close end question etc tapo lalagay sa  yellow pad	NOT
 bretvondehl  brandonkilexxx  tylergloyd waitwaitwait new one epson bitch lucki 	OFF
epic mickey time nahh two half men shiver tht sound like	NOT
hello bitch withaprettyfac want keep lie 	OFF
itsmanderi sure aint color	OFF
 imma bitch know  leav alon	OFF
need bitch go like need beat	OFF
charl eatin trash ass domino picyou know still poor time lol	OFF
rt  im snatch bitch leisuuuur	OFF
said middl school day ghetto way peopl  impress go 	NOT
typic bitch break tweet smfh	OFF
girl like  love babe  bitch isnt today	OFF
famili ron oneal need sue wutang trash song releas name	NOT
far today everi time tri load articl blaze twitter site crash wtf selibus cunt	OFF
im retard real im sit get mad think daughter ignor rememb aint	OFF
crackerboyi hoe realli	OFF
die bitch fuck hologram doe taylor	OFF
mflagginski live eye white trash hurrican milwauki peopl use bike bc dui save environ	OFF
pretti girl wit bird brainswhat wast smh	NOT
rt notesforgirlz see bae retweet mention hoe 	OFF
bitch need call im sorri 	OFF
 yeah realli far alright like live whole lot hick haha	OFF
fazedavl soarwvyy soarhaz fazeoutcst gobbledi gook dont game	NOT
bitch carbon emiss tell stop breath exhal add carbon dioxid atmospher	OFF
 hoe aint loyal 	OFF
rt rackedupshad bitch car way fuck  cuss bitch via note 	OFF
rt tattedbrunettex get fuck bitch nigga dont love hoe get dough	OFF
kiefferjason nigga talk bout school ever choic bitch	OFF
rt gorgeouscamri  hoe everybodi cloth got nerv take pictur man shit crazi 	OFF
pornandroidiphoneipadsexxxx  closeup  squirt pussi finger asshol 	OFF
rt nicoleyyrosie rememb  yanke boston crowd cheer usa instead yanke suck love 	NOT
rt yaaboyshiki fuck peopl get atleast  flappi bird got  smoke fuckin squar	OFF
uckin love freebe like pom im duck hm life	OFF
mino   caption thisgt  nah bitchwer gonna keep 	OFF
even pretti bitch mad self conscious instagram pic dont get enuff love get takendown	OFF
collegefess bitch	OFF
work hoe 	OFF
cant stand faggot	OFF
wish lesbian wouldnt deal bitch boy most bc girl rlli hot	OFF
uturn yellow  aceptar est luz rojo  light take long make bilingu 	NOT
rt christeaa cant turn hoe hous wife babbyyi	OFF
fear bitch	OFF
dont put noth pass nobodi come money n pussi	OFF
car wet bitch wet drive car pool	OFF
paula patton pussi got nigga stage knee talmbout gotta get back tonight	OFF
rt desusnic  tweet migo trash care explain   suprem court confirm hear	NOT
cutler less skill qb retard quadripleg	OFF
rt linnykravtiz mona lisa couldv bad bitch 	OFF
detroit nicca im good	OFF
rt saucygyro whiteponyjr ugli bitch blood hand whore way	OFF
fuckin moron snortin oxycontin wearin cotton oxymoron like buff faggot playin sissi dike	OFF
igot level  far flappi bird smh	NOT
fuck dancehal shit thru twerktap bitch	OFF
rt jakemoneyzz leavin hope hoe	OFF
almightywoo said got workout pussi	OFF
 uh your trash 	OFF
wife new bitch name ursula 	OFF
 yeah play yeah got want joke daddi bitch 	OFF
yo  bitch maci tri run store gaggl cloth got caught	OFF
realli wish own rocket launcher use everi retard drive front today roadrag	OFF
asaptwelvyy hoe	OFF
rt brickyardbeezi im money hungri man bitch cant nuffin	OFF
rt runyacheckup nigga bitch gotta quit wit da money pic count accur aint enough 	OFF
got hoe lurkin got niggah talkin	OFF
pussi nigga sock doesnt knock	OFF
hawk fuck kind bird	OFF
nigga wonder bitch fucc nigga shit cuz nigga anoth bitch shit 	OFF
caymariee bitch im talm bout like  	OFF
tf make account anoth bitch like wanna anotha bitch dat bad lmfaooo fat ass hoe	OFF
whini bitch kris left come lulu aint gettin shit	OFF
rt prettynpurrl ex bitch 	OFF
rt capitalt put ya hoe ya girlfriend  	OFF
hoe love crewwww 	OFF
santosbrina ratchet ass bitch bet felt 	OFF
one man trash anoth man treasur believ	NOT
rt  vjtechsupport youngmcfli real reason gave rap call trash face n ask 	NOT
world class hoe	OFF
princedemitri theweek russlljon typic hitchen type atheist watch doc hollywood hate god readi mock	NOT
 lebron brought bitch knee chill	OFF
ahahahhp pang pow u like shout  bro dre hogg style ent uza fool  dis 	NOT
yall couldnt wait till halloween dress like hoe	OFF
jacobbback faggot	OFF
hit  flappi 	NOT
 bitch aint argu  fuk said slick shit n address  simpl	OFF
rt mjrsuccess amp wes bitch dead	OFF
bae juss new side bitch lingo u aint special hoe	OFF
well damn lmaooo  dyke pictur use girl 	OFF
lol sam said betti boop hoe 	OFF
rt maxicat charli rangel rewrit histori gop  think civil  	NOT
fear niggah trust bitchhh	OFF
rt ugiycuti one two three four mani nigger store	OFF
dopekorean lmfao put twitter see fat bitch	OFF
nfl watch footbal pussi soccer wtf	OFF
rt lildurk ima pull eat pussi dip	OFF
 vomitdatruth chunki nug  doesnt even hook like	OFF
nigga wear wig bitch day	OFF
rt justthistim think ive opinion bitch late glad ive stay quiet  topic swirl around 	OFF
shirley templ bad bitch age well	OFF
revolutionuk jesus would love muzzi tortur fuck anim savag	OFF
rt heissarcast joke offend  im  wont happen   amp   your  mom hate 	OFF
rt harryslaststand armisticeday cri never absent mock pledg neverforget fallen ancient 	NOT
stupid bitch fuck skank dumb hoe	OFF
rt goatraplin chief keef chang rap game said bitch im cooler cooler	OFF
rt cdaesquir tweet last night pussyass dick breath morn	OFF
like seat low window slight crack ride wit bad hoe wit girlfriend back	OFF
would leav crib go somewher im pretti sure ill die caus bitch ass car slide everywher	OFF
got nigga got bitchespartynextdoor aint never lie	OFF
 girl stress  ion even hoe  shit say lol	OFF
rt imgonzo im hook money pussi weed bonus	OFF
roy hibbert trash unbeliev	OFF
mt goauch monkey oldpaint vinyl jazz loung 	NOT
got  amp b progress report amp still touchin band  bitch get like 	OFF
rt imneverchillin bitch inconsider smh 	OFF
whoo new attract virginia citi bird prey meet owl famous role harri potter 	NOT
rt  get eye cancer read mani michael dougla pussyjuicethroatcanc joke	OFF
dont know yo bitch tuat aint bitch im sayin	OFF
psa reduc fat oreo waxi dont soften proper dunk milk stay away theyr unnatur dietschmiet oreo	NOT
huffingtonpost faggot page cant theyfaggot offend	OFF
bitch kick	OFF
rt zfearless  fuck bitch think	OFF
gabbi bitch two account	OFF
damn lol censor rt  redskin bitch let fuck go fuck eagl bout burn bitch httr	OFF
lesbian like yoho scissor timber	OFF
rt nachopicasso fine bitch prolli poopin flat iron hair flex zone right	OFF
urbasicyabish mikeav fuck faggot	OFF
rt odotkay mother day n  min yall bitch pick yall kid yo mama hous u  custodi n instagram 	OFF
 rt   think dem hoe lahhh  co worker mess omarion bm 	OFF
 sister shittin hos vsamon wodeh bout dat action 	OFF
dont get none peopl talk back mei guess follow hope follow back shit talk cracker	OFF
hoe love go shoppin	OFF
poppi give discou bitch get lowwwww	OFF
nigga go crazi bitch day  like calm yo happi ass	OFF
video charli baker rememb tom menino 	NOT
rt collegefess rub orang peel dick go cuz dont want bitch catch cold vitaminsemen  	OFF
ladyvodkax bare bitchse	OFF
damn kaepernick trash man	OFF
rt beautifulkeezi     need one  caus im bf  	OFF
feb  record set day word faggot appar 	OFF
drunkkkk hotbox kushi blunt straight bumpin aob hoe shit bro got mind fuck like black zetzu betray	OFF
rt solodahsystem rub booti anoth man peni sure rt pacdagoat fella cool girl danc 	OFF
 gotta buy antislip shoe hoe wont catch 	OFF
rt  quintinmvp  yea u know lil bitch stalk twitter 	OFF
 know u didnt hit jigga fav purs   chill 	NOT
prihncess fuck bitch	OFF
rt thebloodshow hoe wearin flower around head hope bee sting ass	OFF
dis bitch wizard   snd nude like dis lol  couch floatin 	OFF
rt loyalheart nigga gone nigga im sorri amp hoe gone hoe regardless 	OFF
aint nunn cut bitch 	OFF
brodywaynelyl kid pussi got white trash kid amp thugnasti wanna 	OFF
rt funnyquote hope bird shit face bitch	OFF
damn bitch nosey pleas dont touch phone pleas	OFF
know ghetto see street name martin luther king jr amp littlejohn halp	NOT
peopl gotta learn appreci peopl go way help even dont want help dont bitch	OFF
alysiarianh cambreezi dont call buddi cambron retard man smh that rude	OFF
bad bitch thing like bblu saturday bblu suedeloung richgirl	OFF
hoosier fan codi zeller nomin year nba draft iubb	NOT
kiefferjason u go talk shit anoth state that dat pussi shit	OFF
omg hes hes pathet spineless ball piec trash twitter ive ever seen let go throw blah	OFF
liveitupjersey breed nation pussi hell man manif hes pussyim concern pussi amp psycho	OFF
nobodi planet earth protect bull dyke	OFF
laurenjauregui ur anal stfu u bitch	OFF
 laugh ex tryna stunt bitch forgot went know got amp dont got 	OFF
billperiman like put look race color glass 	NOT
bitterchick dat mean get fuck hoe thinkin	OFF
man  feel like bitch live femal  havin buy yo shit fucc never depend someon	OFF
bitch sing sound like hors choke	OFF
lordjamar disgust ban talk hiphop retard like belong  retard ass logic	OFF
lol brother fag mann	OFF
mayb barackobama color blind red line tough talk walk tcot	NOT
love sub caus mymom start fuck bitch crank system simpl solut	OFF
oh want pho well saimigi ghetto pho eat shit sinc im 	OFF
rt theprinceofnj   aint bout murder game pussi nigga shut  gang 	OFF
bitch coach said didnt like attitud	OFF
im bitch nigga  hurt feel im like serious	OFF
follow ah bitch ig tho 	OFF
jamesynba wish bitch like brother keezi  ooooow bet	OFF
rt kriegsson nigger day honor nigger tradit work	OFF
rachelgautreau babyydrey hey rachel g name isint kenneth ok let get straight  best back go ghetto	NOT
fuckkkkk nig g tho gonna come back	OFF
  scalli lad would get	NOT
lou lil bitch	OFF
girl skip school aint noth  yo made say head bitch u suppos school catch	OFF
rt thinkingofjacob took  pictur ate browni made hes new homi macdemi 	NOT
 hate hoe favorit   sevenon  	OFF
rt nerdatcoolt automat hoe somebodi call one	OFF
hoe said couldnt get tryna kick	OFF
rt unorthodex nah hate white peopl sinc look like dyke rt elbasedparko think end racism 	OFF
man ugliest bitch talk	OFF
person new year resolut jackass everyon yeah im go buy  im retard	OFF
nigga straight gentleman speak bitch come funki ass attitud gentleman shit goe window	OFF
rt terrigeorgia charli crist lead rick scott florida governor race everi vote matter 	NOT
blholla dick pussi precious give ruin bullshit done	OFF
azmonsoon lot rain bad wasnt enough wash away teabagg racist white trash state tcot teaparti azflood	OFF
need claritin clear bitch	OFF
trust say shouldnt trust tweet bae bruh real quick hoe drop nigga real quick	OFF
yesterday around good day great day saw lot peopl havent seen got high giraff pussi 	OFF
someon need get bore nike fag stage	OFF
teamski yellow pari fantast effort allezwiggo vroomfroomenow last stage grab gocav 	NOT
rt sportscent dont look brown sole possess  place afc north cleveland brown 	NOT
appropri guy wear wv yellow rick jame face barkingcarniv 	NOT
chykalet naw u retard kinfolk lol	OFF
like argu sent dat bitch law school	OFF
someon get chees cracker	NOT
nigga dyke rt   rt ayooteezi melo garbag ass hit 	OFF
rt mrrigginss bitch stfu game strong asf 	OFF
rt sidneeyrose fuckin skyler white bitch	OFF
rt louievre lord help bitch 	OFF
real rt imtoomuch rt dlac rt weavuschrist rt  dont tell gf hoe im happi	OFF
  song trash	NOT
rt modrojojo basedamerican ayo take pic famyou think bitch gon fuck pic  	OFF
lord pleas get ghetto ass hospit 	OFF
dude work pussi	OFF
bitch like need get fuck right everi night	OFF
appl sauc bitch	OFF
oper ask redhead resolv charli brown rejectedpeanutsspeci	NOT
rt  almightyvinni richhomiemeezi  bitch stop lien	OFF
lmaoo toni spank maaad time bitch voic	OFF
rt foodbibi oreo cheesecak 	NOT
patdollard fuckin muzzi cunt deport savag	OFF
girl feel need bitch reason	OFF
n hoe sooooo ugli like bitch ugli dog like dumb stupid ass ugli like 	OFF
horni milf sexi lingeri old pussi pummel  	OFF
tflye hoe im roll 	OFF
kevinmcadam ian retard	OFF
never trust hoe	OFF
ladi lmaooo   rt pussi better 	OFF
 joeylattim christian keep laugh fuck u instead pussi bitch	OFF
rft tweet   nigga chang fuck em  bitch nigga day 	OFF
wojtata denythepropheci gabbi call yesterday call bitch cri	OFF
imjessicaaaaa ok hoe	OFF
djfed yeah bitch tast good fucker	OFF
rt butterobama love nickiminaj say bitch im 	OFF
old hoe wana babi	OFF
sinexderek guy pussi 	OFF
 boi stop aint hoe  wardnev either that nobodi knew hood wasaint hoe	OFF
suckin dick cuz im pretti bitch	OFF
jjloveup tranni	NOT
rt ariaunadavon   whitdawgem bitch go sleep work  lol yes  	OFF
fuck bitch get money mission complet	OFF
say word negro attach word leagu total cool guy	NOT
roscoedash lmao soft ass nigga tri act tough littl bitch sit watch sidelin pussi	OFF
rt keymikeskulli first day schoollost student say bro know wheme cho bitch ass 	OFF
queer 	OFF
militarytim that happen pussi presid general fight war	OFF
fuck nigga bitch ima record keep fuckin til play dumb ima show	OFF
 pussi ass schedul	OFF
oh gonna ruin life throw away smoke weed test score higher    trash life	NOT
rt lebronvuitton bain wasnt hoe ass nigga	OFF
prophzilla dont hate blew  like hipster hate faggot say love music base worst 	OFF
let niggah tri	OFF
rt laydeesweet exact amp miss bitch 	OFF
seegt fine linegt kill faggot doesnt chang sourc creation stupid peopl overbreedinggt periodgt	OFF
eakaerick wouldnt share wave trash can	NOT
rt tazheadorn yall ladi ever tank top someth   amp like one nip chill outsid shirt 	OFF
 yeah man nigga dip car left barn get chase ghetto bird	OFF
eyeonpolit chrisloesch long one special browni right	NOT
come home work bridesmaid twinki bottl wine bestroommateev thefaithann	NOT
bitch quick	OFF
 happi birthday bitch	OFF
bitch might b	OFF
 fuck wcw dat bitch  	OFF
hellobaphomet sure aint color	OFF
rt nocontextad tire littl bitch mess plant get gangster gladi 	OFF
rt thatsryann think man cheat take bitch hous see wifi 	OFF
mynamesryann carolinepo would need call bitchcunt face im talk dumbass	OFF
sent idea voem  seem wanna hold testingdril nice weather need run mock incid bad weather night	NOT
offici earn right bitch thing next two year yay	OFF
 hunglikerobbi bbluedreamm dont look like white trash im pregnant  gtfo hella gas say someth	OFF
gotta block dumb hoe	OFF
got your bitch panti niagra fall	OFF
lmao lebron express say rt  nigga fuckin faggot 	OFF
comin fat bitch	OFF
amaz proud day today nkotb blockhead time bed good knight	NOT
rt ogbeard still wont get bitch rt  wow wtf 	OFF
im fuck around two bitch never made hoe mistress	OFF
want cri caus girl la fit  imma bitch	OFF
dont act shi bitch slop	OFF
rt librarianknight queer ladi templar that point	OFF
big red fat squaw lol hubbi funni insidejok	NOT
stevestockmantx hey turd cutterstop tweet juvenil shit jobidiot teabagg	OFF
 toto mean ass vaginai think pussi caus toto santi like nasti pussi	OFF
dont kiss none hoe 	OFF
marackaf  aye yall ima tryout bowl team  tryout pass tho there two retard	OFF
everi girl like sweet ass emoji ass nigguh girl like sexi af ass nigguh	OFF
rt  hun im quit job go learn becom psychic know your think well yet im go 	NOT
nyrkelsmad thank call fuck fag	OFF
rt stunningstina come  henderson kilgor longview dont even matter dumb ass hoe gone fuck around ampget soul taken 	OFF
sukmysweet money impress simpl broke bitch	OFF
rt bellefemlavi ganglandabbi niggaz bare back everi bitch 	OFF
want yo bitch go get smash er wont let	OFF
two main wigga chloetarantino 	OFF
rt  hoe get friend bae  	OFF
forgot good  bad chiefgam pussi wont buy scare get fuckin scrape	OFF
rt lonz hoe  alway hoe 	OFF
bunch hurt nigga amp bitch ig timelin tonight muhfucka lame hell b	OFF
finish yankeeographi still hate arizona dback win  yanke shoulda	NOT
rt favalorogfav  bitch ya betta haha care love	OFF
there alway dumb twitter hoe come sport hope floyd beat mayweath hope new orlean beat saint 	OFF
 bitch im real nigga fuck u mean weak ass nigga dont pretend someon im u shut shit fuk boy	OFF
oreo nhl u zoom see hairi nippl	OFF
hate bitch 	OFF
fabbymichell one bitch make money 	OFF
sourc say charli crist phone rick scott type conced	NOT
dont buy pussi cuz free bitch buy lac	OFF
bust lip play ball cant enjoy pussi delici mango	OFF
tri hoe sinf	OFF
rt ohmyev crazi femal cheat wrong shes everi type hoe guy cheat there 	NOT
rt  good pussi make nigga cum quick shit faster vine video	OFF
 lol chill pussi	OFF
shunstok   lmao bitch come scoot tent like fuck shit 	OFF
rt gurujeremi women think angel denial hoe action dont fall facad see past 	OFF
hoe prayin nicca dnt kno dat background	OFF
  want panda   big booti hoe 	OFF
blakeshelton im come bitch boy 	OFF
hate hoe caption shit lol shit hella cheesi	OFF
 got hella 	OFF
rt  faggit bitch tri say ho hd bearfac bitch yusa fag	OFF
outterspaceswag chipchipperson chippah hope aint hangin wit dis wigger boy	OFF
rt thecrownedhead man im stroll see yall hoe suck dick talk like man dont stunt bru 	OFF
msnbc news show  opinion amp right wing talk point joe nation pbo u teabagg morningjo	NOT
 best asian massag park slope top rate spa     	NOT
theracistdoctor one less littl nigger would grow big nigger	OFF
rt  lmao yall singl hoe stay pregnant 	OFF
rare drink drunk bitch irrit	OFF
bang bitch think im strang bitch banana like fuck rangatang 	OFF
bird ass nigga get feather ruffl shook aint thing half way crook	OFF
im readi bounc dis bitch 	OFF
lil bitch ass move 	OFF
rt thoughtkendali dumb bitch ruin perfect good sweater 	OFF
im look reason realli spazz bitch never ladi buta bitch none less lol	OFF
arod said number  wear uniform oppos team fear fact arod damn cancer yanke	NOT
rt jmuggaaa thekaosyatti  look love one day itll find  fuckin dese   	OFF
bitch lol	OFF
 j cole trash ive say year fuck  lol	OFF
found new way chug open mouth alot shitallysay	NOT
cunt go get amber leaf paper cani ars walk nisa lazi	OFF
rt  ford ford fanci name fag mobil	OFF
pussi good juss save shit lataa	OFF
im back bitch	OFF
shit gay bitch  come witcha girl tonight 	OFF
yea alright redneck white trashcamopearl stupid nigger holler car go road tri hit fuck yall	OFF
south us white trash	OFF
  true earli bird get worm 	NOT
simpl mind hoe	OFF
major hoe gram instafrontin 	OFF
thisisricklol sexi bitch	OFF
work shit birdsion think take  hour noth	OFF
rt daggerbyt call old fashion im sewn togeth magic bird	NOT
go hard bitch swear im job throw quak air call shit lob	OFF
bitch bed got doubl ds shake ass like trina smack ass shake game shake  tune hornyfuck	OFF
suck dick dip shes keeper true redneck woman  kim dad	OFF
wh obama  name  replac rube alreadi cast midterm ballot  hot air 	NOT
girl eat pussi girl nigga	OFF
rt torriabl want leav said go eat pussi  im afraid go leav cat alon	OFF
jew gon laughin nigga judgement day see ugli bitch	OFF
your ugli fat cunt whore need ode	OFF
rt kattpacwilliam nigga wear tom amp ugg  amp bitch wear jay amp timb lol aint usher meant said trade 	OFF
rt umadddt claw ass coreystweetnass u see bitch talkin shit twitter public 	OFF
 caus hoe aint loyal  nigga aint either   go callin hitter 	OFF
kensuttl amhistorymuseum yanke resid mantl piec	NOT
rt lildurk bitch aint bitch	OFF
rt shamargotho hoe smh 	OFF
rt suckedoff  common white peopl  wear  shoot  call nigger xbox	OFF
nicca aint shit day	OFF
 true dat nig	OFF
 essenc fest  ill main stage  step uncl charli	NOT
rt  ex told want get gift would take breath away got bitch treadmil	OFF
analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe	OFF
rt  aint got time bitch  gotta keep mind mothafuckin rich	OFF
 biiiiiiiitch dont start haha niggggg grandma come hoe ya want ill tri scoop ya today ya	OFF
summer school  eat dick school im done bitch ass 	OFF
rt beenbasedb  shawn micheal amp razor ramon  noon godfath though	OFF
rt rapbar joey badass said trade nike new mic guess safe say sold sole new life	NOT
see fine bitch dont get excit	OFF
fuck around wast time ill fuck bitch hate one friend 	OFF
your fake bitch cannot stand read wonder probabl	OFF
bitch wanna fuck someth noth herlik play video game watch game	OFF
rt aianhangov smart wont pretti forev bitch	OFF
yaaaa bitch yaaaaaa	OFF
cours pbebt kill sis msblaqstallion rock bitch hard saditi committe	OFF
scare aint scare beat pussi	OFF
didnt buy alcohol weekend bought  fag proud still  quid tbh	NOT
jstarrtweet took harder rivera retir im yanke fan lot love respect em especi core 	NOT
lebron pussi alway get pick cramp shit	OFF
aint real nigga without goal chase yellow bone bitch w toe paint	OFF
hiyathandaalp hoe	OFF
would yall doi would act like one nd act like lookin bitch lmao 	OFF
b day   	OFF
fat bitch want skinni bitch cant cook nothin  hoe aint hungri 	OFF
one night stand yall hoe yall aint noth	OFF
rt hiphopisdeaddd cowboy trash againth nfl bike normal	NOT
emmalouisasuttl hit clam chowderthank wish card	NOT
rt cuffnoslut hate basic bitch	OFF
rt thriiiuminati hate peopl think im mad sad caus im talk nah im chillin bitch	OFF
basedgvb trash	NOT
gingerdemo jcapswgr dem color boy sayin dare babi daddi got protect semen da lock key wrap 	OFF
delaylaymessi rap part problem  caus im bad bitch	OFF
mtmcli need monkey bar tricycl	NOT
sethmacfarlan deep pussi tongu dial  need halp	OFF
rt hbcufess got bomb dick alpha q  kappa iota amptwo professor month im hoei 	OFF
leav bitch that share pussi everyon fuck relationship peopl love hous	OFF
growword nigga goin work quit tryin kill nigga vibe broke bitch	OFF
rt lanebelgard gillisseth yeah right queer piec ass youv ever got finger broke thru toilet 	OFF
im elat pass creativ gene daughter also got retard gene	OFF
kingcuh  io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha	OFF
fuck made cunt author men	OFF
itskeeshkapeesh faggot buy dictionari	OFF
 peac negro 	OFF
rt  bitch love bodi parti  time take da dick parti cancel  fals advertis ass bitch	OFF
rt alisoncherri nlisa amp discuss aw  fashion choic yellow overal short boxer leg 	NOT
someon tell  dread part uniform id pull hair trash talk cut doodoo braid	NOT
acaciabrinley crusti hoe	OFF
new bitch eat dick like bratwurst	OFF
rt braidedcock veryproudofya poppunksuck well im cri like littl bitch	OFF
abdashcol  natalieschroy fuck raptor fun tranni fail  mile	OFF
rt delphrano berto couldnt ko dude want get  trash upsher trash fight trash bronertaylor box	NOT
photo filter bitch  turntup webad wepretti gayvega rupaulsdragrac barb minaj 	OFF
 agre fat bitch girl left gettin pass around	OFF
rt thatkevinsmith via jenschwalbach eat ice kevinsmith im eat anyth tonight woman pitypussi make better 	OFF
rt consprcycarrot blow shit get fatter white trash love holiday	OFF
man hoe familiar one minut team next minut aint witcha	OFF
amp lew differ philosophi say smack bitch bet watch mouf	OFF
rt manstagram bitch went full retard 	OFF
ilovequi hoe suck	OFF
rt ashleighrollin  kissin small lip trash  trash	OFF
believ hoe get bore awhil	OFF
well gahdamn rt huhwhatsacondom wooooow  good job mommi cutest thing blue ivi ever done still ugli nigger 	OFF
serious question white boy pull bitch bumpin	OFF
nigguhm natur forev fli	OFF
mrfoolycooli im still giant muk shit eat candi ceasar clown	OFF
save bird yesterday	NOT
rt tombradysego sorri bitch take luck beat	OFF
bad bitch bounc pogo screamin yolo  nigga juelz	OFF
fat bitch said next time dont forget potato chip 	OFF
whosealisha nigga spun around pussi	OFF
rt fuckinggarza wanna sleep im outsid nigger lol tri hang	OFF
hate drink everyon fuck bore fuck guy ill fun pussi 	OFF
rt ohyounancihuh talmbout graduat next month word congrat safe food handl bitchif dont flee 	OFF
shout babe anastaciacol love bitch 	OFF
dinneni goddamn bird tri say yoburg better  guy	OFF
turn exboss call pussi last week day call anyth dont touch  anymor	OFF
rt daedeezyy ion ask nobodi shit  ever  never problem shit fa peopl neither damn bitch get thank 	OFF
wtf watch bgc hat watch ugli ass ghetto hoe put famili name shame	OFF
therealaaw  pot gold ass nigguh	OFF
 monday whole lot better your drive vehicl white pussi uhhh get ya	OFF
nyrkelsmad  hey fag said aunt said	OFF
rt kingcuh  teejonez damn cuh alu mohe nigga make sure alu polosi ho nifo 	OFF
yanke went gold cruz  sound upper lower bodi strength hmm  hr hitter wont say word	NOT
happi birthday hoe ill alway love even go year without talk bc your petti your still  askaboutbrandi	OFF
 cant stop lil 	OFF
barneyfranken jennykutn salon salon chuck full butthurt liber retard	OFF
although last night ladi told key happi new pussi	OFF
rt lordjonesss  want  billion dollar  bad hoe da island fine ass geni bitch datz none 	OFF
rt firmeprincess  huh man   hes gna drown pussi real	OFF
 whoooo lemm find bitch run u haha	OFF
 grand open   top class  orient massag  perfect  	NOT
lrg ass nigguh	OFF
lol ike turner 	NOT
  hoe	OFF
rt iwillstillris gator gator bait gatorn	NOT
kayreneaa trust tweet like damn im fag	OFF
idk bitch think player lol bitch zero game	OFF
never lose bitch chase money  prioriti	OFF
bitch hella cranki today someon hand joint	OFF
kobe bryant bitch grow pussi	OFF
rt wizkhalifa current take ur bitch brain creativ wierd	OFF
rt idntwearcondom u faggot u heat leftov pizza	OFF
tessstepakoff  bitch pleas im stud	OFF
