,Text,Class
87,patronis typic brexit littl england mental realis stupid make uk look come,NOT
88,leav deal reset negoti,NOT
89,need cogniz tori poshboy sever pressur english nationalist    cant take fruitcak grant either,NOT
90,hmmm   hope arenâ€™t one â£ per annum lot  fuck,NOT
91,emilythornberri canâ€™t wait see salti tear flow leav eu  disgust vile nasti undemocrat like parti    brexit outmeansout brexitmeansbrexit brexitpartyuk conserv labour libdem snp,NOT
92,continu cusm oct  honour referendum result kiss goodby premiership,NOT
93,west bengal state health depart bus carri repres doctor schedul meet cm mamata banerje nabanna today ,NOT
94,poor bhajji        worldcup ipl cricket cwc viratkoh india icc indiancricketteam rohitsharma msdhoni teamindia dhoni pakistan virat  bhfyp tilltoss,NOT
95,today open letter intoler  intellectu modi ji heavi represent call bengali bhadralok    read post know bengali bhadralok comic laugh,NOT
96,one class mate didnt doubt loyalti basic consept  foreign involv religion  disgrac islam,NOT
97,pmoindia narendramodi think shes right need ban sharia law root evil islam like halala multipl marriag control child birth etc etc     need implement uniformcivilcod   onelawforal bansharialaw,NOT
98,wise statement today northern ireland bori johnson revis better monday agreement could replac good friday agreement renegoti ireland would keep peac brexit ireland would  countri back back stop negoti solut,NOT
99,way el paso familiesbelongtogeth  michaelavenatti washingtondc dc impeachtrump whitehous washingtondc dc   impeach resist familiesbelongtogeth vote nomuslimban nomuslimbanev keepfamiliestogeth bluewav enough eno,NOT
100,sometim crocodil come indian parliament  shed tear name muslim said  comrad binoy viswam speak tripl talaq bill rajya sabha    binoyviswam rajyasabha tripletalaqbil     svaradarajan jainendrakumar scrollin cmokerala ajenglish,NOT
101,dank alankurdi   refugeesarewelcom   nazisarenotwelcom,NOT
102, hr  min betoorourk first candid mention muslim refuge travel ban dont toler respect differ embrac nomuslimbanev repealtheban,NOT
103,mahendra singh dhoni cool men,NOT
104,start feel suspici muslim deliveri boy bring food zomato incid muslim terrorist tri poison prasad,OFF
105,may allaha tala allow ur daughter  time halala differ maulvi  time daughter cri insaf  want aazadi multipl sexthen go understand pain talaq peedit muslim women  exmuslim may happen,OFF
106,sad watch uk make total ars,NOT
107,dhoni captain  icc tournament  virat captain  reach final semi calm,NOT
108,sober gonna realli funni read back like let predict text lead whole post ,NOT
109,bori happen public entranc avoid anyth,NOT
110,one leav countriesfriend famili purpos refuge refuge option  unhcr break silenc   forgotten refuge   jakarta indonesia  cnnindonesia  bbcbreak   unhumanright   unhcrindo,NOT
111,weâ€™d forgotten wasnâ€™t torygraph jim alway rememb,NOT
112, borisjohnson met brilliant polic graduat  birmingham today go  polic next three year stop violent crime  keep communiti safe    els matter let bori know   ,NOT
113,british muslim cleric tell boy sex slave    â€¦,NOT
114, year extens look tl there mention retweet  hour ago specif mention octob  say,NOT
115,hindumuslim indiapakistan sex love stori break barrier internet love  â€¦ via indiatoday,NOT
116,icc made fanci cover drum cut fuck pictwittercomyhahnglsdc,OFF
117,pm borisjohnson met scotgovfm nicola sturgeon edinburgh today    pm said passion believ power union would work tireless improv live peopl across scotland,NOT
118,jaimamataviol mamata day   one intellectu  first doctor teacher next ,NOT
119,fellow wors stone pelter immedi resign intoler like sister mamata banerji also gone mad,OFF
120,look like witchcraft version ku klux klan find deepli sinist,NOT
121,dr qanta ahm rep omar disgrac islam   via youtub                                         say,OFF
122,trump freak worri fox news break resist resisttrump fucktrump ,NOT
123,parisattack refugeesarewelcom women bibl sitewil islam take europ muslim gradual integr  ,NOT
124,bjp â€˜collect garbageâ€™ say mamata banerje defect tmc leader via httweet  â€¦ banerji honest say tmc men corrupt like garbag,OFF
125,lol  name somepeoplechantedsometh    peopl chant someth condemn racist good    peopl someth right american muslim general attack bad,NOT
126,hindumuslim indiapakistan sex love stori break barrier internet love  â€¦,NOT
127,bori johnsonâ€™ first visit ni pm said act complet imparti claim immedi dismiss sinn fein laughabl pgmcnamara report belfast,NOT
128,put garden citi next year pleas fuck icc lastchanceu,OFF
129,dont think amit said anyth wrong istandwithamit everyon choic believ zomatoin respect custom way case muslim want halal chicken halala wife even hindus make choic rubikaliyaquat,NOT
130,welcom  reich post brexit concentr camp help adjust    mark word,NOT
131,day peopl parti join bjp sudden attain emin status sad state affair,NOT
132,extraordinarili compassion generous progress decis imrankhanpti rest world turn away refuge pakistan embrac    hope imran khan eventu grant citizenship afghan bengali refuge    refugeesarewelcom ,NOT
133,anybodi lastchanceu icc offici job  beyond markies king need lawyer youallknew lastchanceu donâ€™t get document someon suffer repeat head trauma bask rate fuck everi one,OFF
134,â€œit absolut right govern support arm forc day enlist rest live veteran given much uk would derelict duti har potenti â€“ pm borisjohnson,NOT
135,johnson liar dont give fli one irish,OFF
136,manab bandyopadhyay press secretari governor west bengal keshari nath tripathi governor today wrote west bengal cm mamata banerje advis take immedi step provid secur doctor  quick investig incid assault doctor ,NOT
137,call black man â€œthe dumbest man televisionâ€ proclaim youâ€™r racist  make total sens come â€œstabl geniusâ€ fucktrump racistpotus,OFF
138,presenc mix motiv convers negat true convers mere reinforc come faith human be flaw fallen god work wake dead life resist cynic love extravag,NOT
139,mari go condemn rape  children wexford last weekend becom heartless dont care,NOT
140,ngl peopl pit refuge homeless peopl ireland pretti sick twist world view theyâ€™r emerg ya daft yoke stop make peopleâ€™ live competit refugeesarewelcom homelesscrisi,NOT
141,demdeb candid address rise antimuslim hate crime follow passag muslimban context inform ban see guid nomuslimbanev  ,NOT
142,youâ€™r go bribe dup,NOT
143,tri destroy disastr deal brexit mandat,NOT
144,even know quran sex slave war captiv halal except adulteri    mani muslim dont know rule let know rule    think moral,NOT
145,mayb whilst could taken question journalist rather hide  releas propoganda bulletin    your serious pm would allow scrutini without  spin jockey pump silli soundbit nicknam stay backdoorbori,OFF
146,fuck ucl bring icc trophi,OFF
147,realli sound like your invit open hostil     sure job     dont want rude your bright persist habit tell lie,OFF
148,hdkumaraswami rahulgandhi arvindkejriw trspartyonlin sitaramyechuri mamatabanerji unfortun polit devpt india dissolv parti includ inc hdd sonia  mamata mayavati abhishek stalin trs jagmohan faruk chandrbabu take lead save india,NOT
149,bye bye foolish app  sell shit halala chaap     boycottzomato,OFF
150,think major give benefit doubt let see ,NOT
151,dr qanta ahm rep omar disgrac islam   via youtub,OFF
152,today scotland tour submarin hmnb clyde met fantast militari personnel much keep us safe brave men women serv arm forc truli repres pinnacl british charact ,NOT
153,mamata didi refus meet governor other    doctor refus meet     doctor   didi  ,NOT
154,unbeliev shame disgust low cheap  get thing unbeliev yes muslim miser sex stuff etc cheap ,OFF
155,akashbanerje video list  point understand doctor strike blame parliament consid though health state subject    even   point blame mamata     blame ram mandir,NOT
156,either muslim christian jew gay,NOT
157, case trippl talaq file mani incid nikah halala happen,NOT
158,realdonaldtrump gop thedemocrat  intlcrimcourt     icc better start arrest us politician    fuck wrong us commit genocid around fuck world  sfa    theyr kill ppl god damn world    icc held acctabl,OFF
159,hey wonder arsehol would react mamata banerje threaten throw strike doctor job month back ,OFF
160,sorri call paranoid behaviour sane person scari fuck   mamata,OFF
161,america hypocrit fucktrump fuckic fuckyourflag feedthechristianstothelion trumpconcentrationcamp trumphaskidsincag trumpisakil trumphotel trumpisakil losttrumphistori,NOT
162,ac room baithk keis pata chalta hei write mamata banerje protest  lynch doctor west bengal ,NOT
163,foreign secretari manag read yet,NOT
164,à¤•à¥à¤› à¤¨à¤¹à¥€  à¤¬à¥‹à¤¹à¥‹à¤¤ à¤œà¥à¤¯à¤¾à¤¦à¤¾ à¤²à¥‹à¤šà¤¾ à¤¹à¥ˆ à¤•à¤¿à¤¤à¤¨à¤¾ à¤¶à¤°à¥à¤®à¤¸à¤¾à¤• à¤¹à¥ˆ à¤¹à¤¿à¤‚à¤¦à¥à¤¸à¥à¤¥à¤¾à¤¨ à¤®à¥‡à¤‚ à¤•à¥€ à¤­à¤°à¥€ debat à¤®à¥‡à¤‚ à¤•à¥‹à¤ˆ à¤œà¤¯ à¤¶à¥à¤°à¥€ à¤°à¤¾à¤® à¤à¤• à¤ªà¤µà¤¿à¤¤à¥à¤° à¤¨à¤¾à¤°à¥‡ à¤•à¥‹ à¤†à¤¤à¤‚à¤•à¥€ à¤¬à¥‹à¤² à¤¦à¥‡à¤¤à¥‡ à¤¹à¥ˆ à¤ªà¤° à¤•à¥à¤› à¤²à¥‹à¤—à¥‹ à¤•à¥‹ à¤¤à¥‹ à¤‡à¤¸à¤®à¥‡ à¤•à¥à¤› à¤†à¤ªà¤¤à¥à¤¤à¥€ à¤¨à¤œà¤° à¤¨à¤¹à¥€ à¤†à¤¤à¥€ à¤¦à¥‹à¤—à¤²à¤¾à¤ªà¤¨ à¥¤  shame mamata banerji  tanvi das   aparna sen  intolernc gang  à¤œà¤¯ à¤¶à¥à¤°à¥€ à¤°à¤¾à¤® ,OFF
165,small turkish citi success absorb half million migrant worldrefugeeday refugeesarewelcom syria turkey ,NOT
166,bro yhi dikkat h   agar koi hindu k liy bolta h toh aplog usay bjp may ya rss may jod dete ho mere nearbi may sab mla k khilaf h nd khulk bolt b h  even kashmir k case may b sab hindu ne grl ko support kiya twinkl k case may sab shanti becoz tapish muslim ta,NOT
167,prime minist bori johnson reaffirm pledg employ  new polic offic next three year say uk need strong visibl polic    said govern find money salari kit  borisjohnsonpm,NOT
168,itâ€™ strang iâ€™d got use tweet comment fuck useless woman respond  iâ€™v got get use tweet fuck useless man thing attach huge import  fact,OFF
169,want backstop bulli also whole point backstop wait till deal nullifi good friday agreement    realis backstop eus interest undermin custom union protect ireland,NOT
170,monkey would much interest opinion fucktrump racisttrump rapistinchief potus,NOT
171,yet youv thrown proverbi bus,NOT
172,sometim tri end look even stupid  financ cannot say  revenu ,OFF
173,mamata banerji assembl ledear  polit leader brigad parad ground kolkata emphat declar modi becom expiri date pm would elucid someth,NOT
174,hereâ€™ republican parti danger age exist resist resisttrump fucktrump ,NOT
175,man still ainâ€™t got mine fucktrump,NOT
176,strong claim mam without give refer quran hadith due respect mam way u hv objectifi woman disgrac right given woman islam   u realli need reconstruct ur empir knowledg  best wish  psiatif ,OFF
177,u stupid dr els imran khan talk icc confer clear vision honour last messeng prophet mohammad pbuh,OFF
178,sharethetrophi yeswekan icc retain kumardharmasena elit panel world cup rob back umpir error whatâ€™ messag icc build nzrob backtheblackcap,NOT
179,next get halala done prove point ,NOT
180,war  gopwantswar  edwin starr  musiciswhatfeelingssoundlik    via youtub thingsthatgivemeanxieti fucktrump fuckgop,NOT
181,real scenario muslim fake jai shree ram controversi  ap sen right shout intoler increas  modi must resign  real scenario  muslim mob attack doctor tmc goon attack professor ask shout mamata beham zindabad   ap sen  consum fevicol,NOT
182,use take parent speaker corner fun day  nation disgrac soak divers  divers opinion  islam peac els,NOT
183,photoshoot hindumuslim sex coupl prove love boundari  â€¦,NOT
184,zomato food doesnt religion zomato ,NOT
185,couldnt agre nireland vote remain,NOT
186,near enough replac got rid last  year youv train  yrs brexit leav enough money pay,NOT
187,srk celebr kkrs victori mamata didi  friend fuck player,OFF
188,someon need specif problem zomato done better make issu talk amit shukla everi hindu stand meet shop dear other user dont write word halal chicken,NOT
189,west bengal cm mamata banerje want invok essenti servic mainten esma act state want junior doctor resum work accept demand ,NOT
190,navika aunti bhi shock mein soch rahi hai yaar yeh toh hums bhi kadam aagey hai pati patni punstarr nehrwho zomatosaysnotoh zomato ,NOT
191,electr car  gst  lick ass muslim ,OFF
192,muslim mate thing itâ€™ sister brother sex pleasur pleasur ,OFF
193,omar disgrac islam  ,OFF
194,entir fuck person,OFF
195,bbc news  waltham forest pride polic probe homophob abus video  â€¦ disgrac islam,NOT
196,may god bless muslim doctor weakest depend doctor    realis nonsens least time ur death,NOT
197,agre support youbut desper time requir brave respons go fight peac gfa westminst ,NOT
198,pc busi order food zomato,NOT
199,shame shame  mamata banerji  aparna sen   puppet ,OFF
200,dont know call great hack isnt hack netflix reveal scari dirti seedi underbelli situat uk us brexit trump,NOT
201,excit welcom student dmuleicest weekend learn work rdjrefuge learn way support refuge communiti refugeesarewelcom,NOT
202,mamata banerje total lost plot deal doctor immedi action could prevent crisi bjp bhakt refrain comment mamataâ€™ statement similar situat bjp mos want protest doctor becom naxal shot ,NOT
203,let sink pleas repost farrakhan realword realtalk yougoback fucktrump  lockhimup  â€¦,NOT
204,tm taught us includ year brexit  oct ,NOT
205,easier live pain sorrow rather live disgrac,NOT
206, crowd capac shd minimum standard day compar othr countri world,NOT
207,sudhir     run dna popul control    problem solv convinc hindus n muslim cut back unprotect sex n popul control,NOT
208,get one front ill buy one back,NOT
209,myth mamata banerji meteor rise base ,NOT
210,hundr forgotten refuge gather infront unhcr offic jakarta sinc day ago   ask unhcr break silenc take serious action thire resettl,NOT
211,cours first repli tweet icc india fuck ,OFF
212,alway posit messag bori breath fresh air,NOT
213,total mamata banerje side fuck em,OFF
214, million girl kill womb way life  way life donâ€™t potti train devdasi pratha still sacr way life halala place islam way life look much hope lust amaz ,OFF
215,bori johnson promis make britain â€˜greatest countri earthâ€™   via youtub    sovereignti nation state defi un collectiv planet  individu readi transfer gulag canada includ,NOT
216,isi tore across iraq  shot behead yazidi thousand women reserv separ fate instead death given sex slave fighter abus trade like chattel wrong muslim faith obama didnt help,NOT
217,sure noth bori want prorogu parliament would advantag get execut northern ireland run asap,NOT
218,ladi general odyr à¤¡à¤¾à¤¯à¤° ms mamata beneraji bano rule west bengal secular constitutionaltraitor methodolog method  bloodsh sign good govern  fuck hindu  press  hey  hallo opposit  ,OFF
219,le coach dicc ta un fuck tout les troi mot il insult ses linemen de gros sac je pens que je lui dis daller se fair encul au bout de deux jour  lastchanceu,OFF
220,yes pleas take place westminst someth construct rhetor isnt use,NOT
221,mamata  naidu   ye dono elect k pahl zarurat se jayda uchal rahe    elect k baad edcbi dono ko olymp long jump karwa rahi hai,NOT
222,wow u jump jokerdo u think u dictat thing u want real secular stop write halala food say food religion  dont push ur world view us,NOT
223,nation cathedr leader humili trump condemn racism resist resisttrump fucktrump ,NOT
224,prime focus dump arlen foster impos equal northern ireland,NOT
225,im also part indian one would rather end islam nobodi need slave im never happi evil brought upon mankind unlik bait make fun peopl like your disgrac human your happi enslav,OFF
226,world test championship involv  team fuck sake icc get shit togeth never grow game truli global level rate,OFF
227,secular khatr hai  india hindu rashtra secular illeg,NOT
228,f cking hell lad youv got chanc westminst want pitch elsewher ge let remain take,OFF
229,wasnâ€™t hoax youâ€™r go either impeach remov offic januari   fucktrump,OFF
230,suspect omit say obvious name cours facilit situat  stopbrexitsavebritain ,NOT
231,fake amit shuklait great pr tactic save thier ass earlier scandelfunni easili fool peoplezomaro want becom hero pick hindu muslim topic,OFF
232,derek nobrainâ€™ aukat let us see cannot win elect wb suck mamata banerji sound smart mamata fall weak english mahua derek nobodi predict fade sooner later ,NOT
233,said â€œto vote â€œ trump run presid â€œto runâ€  â€œto voteâ€ elect candid disclos  year tax return make trump differ fucktrump  trumpisafelon   trump noth hide present citizen clear,NOT
234,       à¤¤à¤¬  à¤®à¤®à¤¤à¤¾à¤¬à¤¨à¤°à¥à¤œà¥€ à¤•à¤¾ à¤˜à¥à¤¸à¤ªà¥ˆà¤ à¤¿à¤ à¤ªà¤° à¤µà¤¾à¤°  à¤…à¤¬  à¤¤à¥à¤·à¥à¤ÿà¤¿à¤•à¤°à¤£à¤µà¥‹à¤ÿà¤¬à¥ˆà¤‚à¤• à¤•à¥‡ à¤²à¤¿à¤ à¤˜à¥à¤¸à¤ªà¥ˆà¤ à¤¿à¤ à¤¸à¥‡ à¤ªà¥à¤¯à¤¾à¤°  à¤¦à¥‹à¤—à¤²à¥‡à¤ªà¤¨ à¤•à¥€ à¤¸à¤¾à¤°à¥€ à¤¹à¤¦à¥‡à¤‚ à¤ªà¤° à¤¹à¥‹ à¤—à¤ˆ à¤¹à¥ˆà¤‚ à¤¯à¤¾ à¤…à¤­à¥€ à¤”à¤° à¤¬à¤¾à¤•à¥€ à¤¹à¥ˆ   refugeesgoback ,NOT
235,pork muslim non veg vegetarian bro  choic food per type nd choic deleveri person per race cast religion sex two differ domain classif  former one catagori later one discrimin ,NOT
236,didnt realis ever broken ever allow oper fulli first place british govern oppress,NOT
237, borisjohnson nation polic board say pledg recruit  polic offic next three year â€œabsolut priorityâ€ say â€œback polic wayâ€ â€œgive resourc confid need get job doneâ€,NOT
238,u even know halala keep blabberingit alreadi forbidden islam,NOT
239,agre latter point complet dont think like negat attent much egotist,OFF
240,bc pura ek sentenc angreji mai kya bat,OFF
241,bori pressur may ever  year patienc watch prepar wait longer realli â€œdo dieâ€ nigelfarag need readi strike,NOT
242,bhaiya ji law instant tripl talak proper talak divorc stop spread fake news instant tripl talak haram islam well usual women go halala bcz instant talak emot physic abusemen care,OFF
243,muslim men best go   legal wive wife beat need treat women equal sex slave appeas govern fear law mob strength wud muslim men convert unless want decent human be believ equal  justic,OFF
244,food religion unless      halala,NOT
245,mamata time right load modi deliv promis made netajifil kgb   wont fuck anymor ,OFF
246,that thing labour know bankrupt countri,NOT
247,conflict order arenâ€™t even deliber heâ€™ stupid frighten author isnâ€™t absolut one like badg,OFF
248,diyar mamata mulayam et fuck bjp yall bring govt much expos investig prosecut govt,OFF
249,bowl england bowl england intern cricket realli differ club sport without â€œforeignerâ€ restrict play  eng go play senior team aus actual fuck  icc sort ,OFF
250,dhoni icc absolut doubt ms dhoni,NOT
251,lovesong bataclan prayforpari aminata    love inject     parisattack,NOT
252,à¤§à¥‹à¤¨à¥€ à¤•à¥‡ à¤¯à¥‡ à¤¬à¥‡à¤¸à¥à¤ÿ à¤°à¤¿à¤•à¥‰à¤°à¥à¤¡ à¤œà¤¿à¤¨à¥à¤¹à¥‡à¤‚ à¤¶à¤¾à¤¯à¤¦ à¤¹à¥€ à¤•à¥‹à¤ˆ à¤•à¥à¤°à¤¿à¤•à¥‡à¤ÿà¤° à¤¤à¥‹à¤¡à¤¼ à¤ªà¤¾à¤    sachin teamindia dhoni dhoniisback dhoniinbillionheart viratkoh bcci icc     dhoniism,NOT
253,timesnow idiot dont see kawariya attack pass masjid refus complet ride stop namaz gsurakshak kill peac muslim real hate monger real communal bigot nomuslimbanev ,OFF
254,english aati hai beta isko padho ,NOT
255,     use live sri lankan sinhala know lot stuff muslim    like sex slave arab come sl use pakislmald women sex slave     lot pakisarab sl    sri lanka differ     india differ,NOT
256,england  womenâ€™   over   australia   over win ash cricket icc auswvsengw engwvsausw engvaus ausveng,NOT
257,â€œi met brilliant polic graduat  birmingham today weâ€™r go  polic next three year stop violent crime keep communiti safeâ€ â€“ pm borisjohnson,NOT
258,wash post   grab hand could feel erect    want take cloth sex  realiz heâ€™ ejaculatingâ€     sex  whatwomenw www  womenattractmenattract  menseducewomenseduc  menfrommarswomenfromvenus ,OFF
259,canâ€™t job sometim familiesbelongtogeth  michaelavenatti washingtondc dc impeachtrump whitehous washingtondc dc   impeach resist familiesbelongtogeth vote nomuslimban nomuslimbanev keepfamiliestogeth bluew,NOT
260,im realist way anyth stop elect hold nose get,NOT
261,dr qanta ahm rep omar disgrac islam   ,OFF
262,administr make repeal ban immigr polici prioriti keepfamiliestogeth repealtheban nomuslimbanev,NOT
263,hindumuslim samesex coupl break new ground pictur go viral sex coupl come forward like show support sex marriag,NOT
